// Overlook Water Dungeon (Custom)
2501,AGED_CORNUTUS,Aged Cornutus,Aged Cornutus,48,7250,1,1107,1242,1,143,31,55,36,32,27,45,26,27,15,10,12,0,5,21,0x91,200,1248,48,480,0,0,0,0,0,0,0,991,91,961,10000,911,1600,757,107,2106,11,943,2000,717,200,0,0,0,0,4061,3
2502,AGED_DEVIACE,Aged Deviace,Aged Deviace,60,15675,1,1974,2220,1,245,64,66,21,57,26,32,25,45,15,10,12,1,5,81,0x91,400,1680,480,384,0,0,0,0,0,0,0,995,51,1053,10000,1054,2000,5011,5,971,400,1256,7,756,323,0,0,0,0,4125,3
2503,AGED_HYDRA,Aged Hydra,Aged Hydra,34,4270,1,699,789,7,72,14,26,42,10,9,14,0,35,2,10,12,0,3,41,0x84,1000,800,432,600,0,0,0,0,0,0,0,517,1400,525,11,938,3000,962,10000,971,41,1011,51,0,0,0,0,0,0,4035,3
2504,AGED_KUKRE,Aged Kukre,Aged Kukre,42,55555,1,945,1062,1,119,26,43,30,25,30,22,20,32,20,10,12,0,5,21,0x83,150,1776,576,288,0,0,0,0,0,0,0,991,61,955,10000,910,800,528,1000,507,1300,928,900,623,41,0,0,0,0,4027,3
2505,AGED_MARC,Aged Marc,Aged Marc,56,12610,1,1575,1770,1,216,55,72,31,50,24,22,15,48,20,10,12,1,5,41,0x3885,150,1272,72,480,0,0,0,0,0,0,0,995,37,956,10000,756,191,951,2000,720,21,717,400,509,1400,0,0,0,0,4105,3
2506,AGED_MARINA,Aged Marina,Aged Marina,42,6045,1,1020,1143,1,124,29,26,25,24,27,18,22,29,15,10,12,0,3,41,0x81,400,2280,1080,864,0,0,0,0,0,0,0,631,41,717,400,938,3000,991,91,995,5,1052,10000,0,0,0,0,0,0,4055,3
2507,AGED_MARINE_SPHERE,Aged Marine Sphere,Aged Marine Sphere,51,9650,1,1338,1509,1,61,1,53,36,10,16,35,25,26,5,10,12,0,3,41,0x0,800,1201,1,1,0,0,0,0,0,0,0,1050,10000,1051,50,1520,21,720,21,717,300,10003,21,0,0,0,0,0,0,4084,3
2508,AGED_MARSE,Aged Marse,Aged Marse,47,7280,1,1167,1314,1,148,34,49,23,33,17,25,10,33,10,10,12,0,5,41,0x91,300,1956,756,528,0,0,0,0,0,0,0,1024,10000,962,6000,717,400,720,21,995,25,1007,11,514,600,0,0,0,0,4095,3
2509,AGED_MERMAN,Aged Merman,Aged Merman,60,14700,1,1848,2076,1,205,50,81,10,45,29,30,19,50,10,10,12,1,7,61,0x3695,220,916,816,336,0,0,0,0,0,0,0,1054,2600,568,800,756,407,720,81,995,71,1460,7,2317,5,0,0,0,0,4199,3
2510,AGED_OBEAUNE,Aged Obeaune,Aged Obeaune,53,10790,1,1428,1602,1,188,41,62,34,54,47,21,40,36,25,10,12,1,5,41,0x3095,200,1872,672,288,0,0,0,0,0,0,0,995,27,950,10000,5014,3,2326,21,720,21,951,1000,748,61,0,0,0,0,4093,3
2511,AGED_PHEN,Aged Phen,Aged Phen,52,9815,1,1338,1509,1,183,39,57,14,54,15,35,15,25,15,10,12,1,5,41,0x91,150,2544,1344,1152,0,0,0,0,0,0,0,1023,10000,963,4000,517,2000,951,1000,756,51,720,11,0,0,0,0,0,0,4077,3
2512,AGED_PLANKTON,Aged Plankton,Aged Plankton,40,6160,1,1002,1125,1,123,30,36,36,23,53,25,55,35,14,10,12,0,3,61,0x81,400,2208,1008,324,0,0,0,0,0,0,0,1052,10000,713,2000,938,1400,910,600,645,100,630,41,970,9,0,0,0,0,4024,3
2513,AGED_STROUF,Aged Strouf,Aged Strouf,61,15260,1,1878,2115,1,239,65,87,27,49,16,31,20,33,20,10,12,2,5,61,0x3885,150,1872,672,384,0,0,0,0,0,0,0,951,10000,949,6000,956,3000,756,231,720,41,2315,5,1461,5,0,0,0,0,4111,3
2514,AGED_SWORDFISH,Aged Swordfish,Aged Swordfish,57,13000,1,1575,1770,1,226,59,68,16,50,56,25,15,40,15,10,12,2,5,41,0x3885,200,1968,768,384,0,0,0,0,0,0,0,963,10000,956,1200,757,100,756,67,1117,51,995,21,2257,5,0,0,0,0,4089,3
2515,AGED_VADON,Aged Vadon,Aged Vadon,45,6260,1,1026,1158,1,142,31,70,27,35,21,28,20,33,15,10,12,0,5,21,0x91,300,1632,432,540,0,0,0,0,0,0,0,960,10000,910,6000,943,200,717,100,991,81,757,81,2313,11,0,0,0,0,4049,3
